permit_record_id,permit_address,permit_date,permit_est_cost,mls_list_no,mls_address,mls_list_date,mls_settled_date,mls_sale_price,match_type,match_score,time_to_list_days,time_to_sale_days,sale_to_cost_ratio
"","15 Homestead Rd 6 4","","","72774876","15 Homestead Rd 6 4","2021-01-13","2021-04-06","","exact","1","","",""
"","17 Colby 6 5","","","72705781","17 Colby 6 5","2020-08-06","2020-11-01","","exact","1","","",""
"","37 Chestnut Street 4 3","","","72705531","37 Chestnut Street 4 3","2020-08-05","2020-10-08","","exact","1","","",""
"","2 Heckle Street 5 4","","","72624189","2 Heckle Street 5 4","2020-02-25","2020-07-07","","exact","1","","",""
"","92 Royalston Rd 3 2","","","72502737","92 Royalston Rd 3 2","2019-05-16","2020-01-15","","exact","1","","",""
"","115 Woodlawn Ave 4 3","","","73057717","115 Woodlawn Ave 4 3","2022-11-10","2023-02-20","","exact","1","","",""
"","79 Manor Ave 4 4","","","72885843","79 Manor Ave 4 4","2021-08-24","2021-10-05","","exact","1","","",""
"","32 Lantern Lane 5 4","","","72921621","32 Lantern Lane 5 4","2021-11-17","2022-04-07","","exact","1","","",""
"","36 Jackson Rd 5 3","","","72749131","36 Jackson Rd 5 3","2020-10-26","2021-01-12","","exact","1","","",""
"","91 Edmunds Rd 5 4","","","73001480","91 Edmunds Rd 5 4","2022-06-21","2022-08-30","","exact","1","","",""
"","52 Wareland Road 5 4","","","72705789","52 Wareland Road 5 4","2020-08-06","2020-09-22","","exact","1","","",""
"","8 HOMESTEAD RD 5 4","","","72999848","8 HOMESTEAD RD 5 4","2022-06-16","2022-09-05","","exact","1","","",""
"","115 Lowell Road 5 4","","","72787587","115 Lowell Road 5 4","2021-02-17","2021-06-17","","exact","1","","",""
"","31 Barnstable Road 5 3","","","72664220","31 Barnstable Road 5 3","2020-05-28","2020-08-02","","exact","1","","",""
"","65 Westgate 4 4","","","72656247","65 Westgate 4 4","2020-05-13","2020-07-14","","exact","1","","",""
"","12 Earle Rd 4 4","","","72720323","12 Earle Rd 4 4","2020-09-02","2020-11-30","","exact","1","","",""
"","40 Boulder Brook Rd 5 4","","","72724576","40 Boulder Brook Rd 5 4","2020-09-09","2020-10-29","","exact","1","","",""
"","32 Mansfield Rd 5 5","","","72662766","32 Mansfield Rd 5 5","2020-05-26","2020-08-16","","exact","1","","",""
"","14 Deerfield Rd 4 2","","","72646968","14 Deerfield Rd 4 2","2020-04-22","2020-05-25","","exact","1","","",""
"","260 Wellesley Ave 5 2","","","72554347","260 Wellesley Ave 5 2","2019-08-22","2020-02-27","","exact","1","","",""
"","83 Westgate Rd 4 2","","","72926460","83 Westgate Rd 4 2","2021-12-07","2022-03-09","","exact","1","","",""
"","345 Worcester Street (Carriage Rd) 4 4","","","72851571","345 Worcester Street (Carriage Rd) 4 4","2021-06-16","2021-08-04","","exact","1","","",""
"","117 Abbott Road 4 2","","","72782072","117 Abbott Road 4 2","2021-02-02","2021-06-29","","exact","1","","",""
