record_id,address_raw,address_norm,date_submitted,est_cost,demo_cost,record_status,type_of_work
"RES-25-132","345 LINDEN STREET, WELLESLEY, MA 02481","345 LINDEN ST WELLESLEY MA 02481","+251726-02","700000","","Active","New Construction"
"RES-25-128","2 DALE STREET, WELLESLEY, MA 02482","2 DALE ST WELLESLEY MA 02482","+252306-02","1618909","","Active","New Construction"
"RES-25-120","201 LOWELL ROAD, WELLESLEY, MA 02481","201 LOWELL RD WELLESLEY MA 02481","+251644-02","900000","","Complete","New Construction"
"RES-25-103","171 WASHINGTON STREET, WELLESLEY, MA 02481","171 WASHINGTON ST WELLESLEY MA 02481","+251854-02","1500000","","Active","New Construction"
"RES-25-76","26 PEMBROKE ROAD, WELLESLEY, MA 02482","26 PEMBROKE RD WELLESLEY MA 02482","+251849-01","1400000","","Active","New Construction"
"RES-25-27","16-18 BROOK STREET, WELLESLEY, MA 02482","16-18 BROOK ST WELLESLEY MA 02482","+251901-01","950000","","Complete","New Construction"
"RES-24-978","38 PARKER ROAD, WELLESLEY, MA 02482","38 PARKER RD WELLESLEY MA 02482","+241522-12","775000","","Active","New Construction"
"RES-25-77","12 LAFAYETTE CIRCLE, WELLESLEY, MA 02482","12 LAFAYETTE CIR WELLESLEY MA 02482","+251407-01","28500","","Complete","Alterations"
"RES-25-1038","15 LAFAYETTE CIRCLE, WELLESLEY, MA 02482","15 LAFAYETTE CIR WELLESLEY MA 02482","+251915-12","15000","","Active","Demolition"
"RES-25-1007","39 MACARTHUR ROAD, WELLESLEY, MA 02482","39 MACARTHUR RD WELLESLEY MA 02482","+251819-12","35000","","Active","Demolition"
"RES-25-917","12 LOWELL ROAD, WELLESLEY, MA 02481","12 LOWELL RD WELLESLEY MA 02481","+251956-11","45000","","Active","Demolition"
"RES-25-426","51 SMITH STREET, WELLESLEY, MA 02482","51 SMITH ST WELLESLEY MA 02482","+251634-05","1533600","","Active","Addition"
"RES-24-486","222 GROVE STREET, WELLESLEY, MA 02482","222 GROVE ST WELLESLEY MA 02482","+241701-06","1600000","","Active","New Construction"
"RES-24-871","91 PROSPECT STREET, WELLESLEY, MA 02481","91 PROSPECT ST WELLESLEY MA 02481","+241814-12","750000","","Active","New Construction "
"RES-24-646","206 BRISTOL ROAD, WELLESLEY, MA 02481","206 BRISTOL RD WELLESLEY MA 02481","+241900-07","1300000","","Active","New Construction "
"RES-24-935","38 WOODCLIFF ROAD, WELLESLEY, MA 02481","38 WOODCLIFF RD WELLESLEY MA 02481","+241856-11","1100000","","Active","New Construction "
"RES-23-839","45 WHITE OAK ROAD, WELLESLEY, MA 02481","45 WHITE OAK RD WELLESLEY MA 02481","+231411-10","2500000","","Active","New Construction "
"RES-25-1041","Development 12 MELLON","DEVELOPMENT 12 MELLON","","","","","Development"
"RES-25-1034","Development 6 MOUNTVIEW","DEVELOPMENT 6 MOUNTVIEW","","","","","Development"
"RES-25-1011","Development 1 LAWRENCE","DEVELOPMENT 1 LAWRENCE","","","","","Development"
"RES-25-944","unsure 24 EDGEMOOR","UNSURE 24 EDGEMOOR","","","","","unsure"
"RES-25-934","Development 46 MADISON","DEVELOPMENT 46 MADISON","","","","","Development"
"RES-25-921","Residential upgrade 5 POND","RESIDENTIAL UPGRADE 5 POND","","","","","Residential upgrade"
"RES-25-908","Development 23 WARELAND","DEVELOPMENT 23 WARELAND","","","","","Development"
"RES-25-895","unsure 44 SOUTH","UNSURE 44 SOUTH","","","","","unsure"
"RES-25-871","unsure 9 HILL","UNSURE 9 HILL","","","","","unsure"
"RES-25-860","Development 489A WORCESTER","DEVELOPMENT 489A WORCESTER","","","","","Development"
"RES-25-857","Development 21 BEECHWOOD","DEVELOPMENT 21 BEECHWOOD","","","","","Development"
"RES-25-852","Development 67 OLD","DEVELOPMENT 67 OLD","","","","","Development"
"RES-25-830","Development 144 WASHINGTON","DEVELOPMENT 144 WASHINGTON","","","","","Development"
"RES-25-779","Development 28 PARKER","DEVELOPMENT 28 PARKER","","","","","Development"
"RES-25-778","Development 18 ROCKLAND","DEVELOPMENT 18 ROCKLAND","","","","","Development"
"RES-25-742","Development 78 SUFFOLK","DEVELOPMENT 78 SUFFOLK","","","","","Development"
"RES-25-736","unsure 17 SUFFOLK","UNSURE 17 SUFFOLK","","","","","unsure"
"RES-25-729","unsure 46 UPSON","UNSURE 46 UPSON","","","","","unsure"
"RES-25-693","unsure 75 MAUGUS","UNSURE 75 MAUGUS","","","","","unsure"
"RES-25-667","Development 489 WORCESTER","DEVELOPMENT 489 WORCESTER","","","","","Development"
"RES-25-628","Development 66 SUFFOLK","DEVELOPMENT 66 SUFFOLK","","","","","Development"
"RES-25-619","Development 19 PINE","DEVELOPMENT 19 PINE","","","","","Development"
"RES-25-570","Development 52 VALLEY","DEVELOPMENT 52 VALLEY","","","","","Development"
"RES-25-538","Development 40 RADCLIFFE","DEVELOPMENT 40 RADCLIFFE","","","","","Development"
"RES-25-510","Development 23 PILGRIM","DEVELOPMENT 23 PILGRIM","","","","","Development"
"RES-25-483","Development 46 ROYALSTON","DEVELOPMENT 46 ROYALSTON","","","","","Development"
"RES-25-478","Development 23 PRISCILLA","DEVELOPMENT 23 PRISCILLA","","","","","Development"
"RES-25-472","Development 43 WOODRIDGE","DEVELOPMENT 43 WOODRIDGE","","","","","Development"
"RES-25-420","unsure 42 SUMMIT","UNSURE 42 SUMMIT","","","","","unsure"
"RES-25-317","Development 71 FAIRBANKS","DEVELOPMENT 71 FAIRBANKS","","","","","Development"
"RES-25-299","Development 69 MONADNOCK","DEVELOPMENT 69 MONADNOCK","","","","","Development"
"RES-25-298","Development 62 DONIZETTI","DEVELOPMENT 62 DONIZETTI","","","","","Development"
"RES-25-132","Development 345 LINDEN","DEVELOPMENT 345 LINDEN","","","","","Development"
"RES-25-128","unsure 2 DALE","UNSURE 2 DALE","","","","","unsure"
"RES-25-120","Development 201 LOWELL","DEVELOPMENT 201 LOWELL","","","","","Development"
"RES-25-103","unsure 171 WASHINGTON","UNSURE 171 WASHINGTON","","","","","unsure"
"RES-25-76","Development 26 PEMBROKE","DEVELOPMENT 26 PEMBROKE","","","","","Development"
"RES-25-27","unsure 16-18 BROOK","UNSURE 16-18 BROOK","","","","","unsure"
"RES-24-978","Development 38 PARKER","DEVELOPMENT 38 PARKER","","","","","Development"
"RES-25-77","unsure 12 LAFAYETTE","UNSURE 12 LAFAYETTE","","","","","unsure"
"RES-25-1038","Development 15 LAFAYETTE","DEVELOPMENT 15 LAFAYETTE","","","","","Development"
"RES-25-1007","Development 39 MACARTHUR","DEVELOPMENT 39 MACARTHUR","","","","","Development"
